Loan_ID,Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Has_CreditCard,LoanAmount,Loan_Amount_Term,Owns_Car,Owns_House,Property_Area,Loan_Status
LN1378,Customer_1478,Male,Yes,2,Graduate,No,69082,47554,Yes,616,300,Unknown,1,Rural,Y
LN1379,Customer_1479,Female,Yes,0,Not Graduate,No,39497,20367,Yes,132,120,Unknown,0,Semiurban,N
LN1380,Customer_1480,Female,No,0,Graduate,No,58036,11918,Yes,667,120,Unknown,1,Urban,Y
LN1381,Customer_1481,Other,No,3,Graduate,Yes,51455,42008,Yes,300,240,Unknown,0,Semiurban,N
LN1382,Customer_1482,Female,No,0,Graduate,No,7516,18119,Yes,391,240,Unknown,0,Rural,N
LN1383,Customer_1483,Other,No,2,Not Graduate,Yes,69795,19743,Yes,472,240,Unknown,1,Urban,Y
LN1384,Customer_1484,Male,No,2,Graduate,No,26376,8876,Yes,488,180,Yes,1,Urban,N
LN1385,Customer_1485,Female,Yes,0,Graduate,No,71045,6327,Yes,463,60,Unknown,0,Urban,N
LN1386,Customer_1486,Other,Yes,0,Graduate,Yes,47968,47354,Yes,182,60,Unknown,1,Rural,Y
LN1387,Customer_1487,Male,Yes,2,Not Graduate,No,15264,26914,Yes,478,360,Unknown,1,Urban,N
LN1388,Customer_1488,Female,Yes,2,Not Graduate,Yes,259460,25524,Yes,593,60,No,0,Semiurban,N
LN1389,Customer_1489,Male,Yes,1,Graduate,Yes,34635,447090,Yes,659,240,Unknown,0,Rural,Y
LN1390,Customer_1490,Female,No,3,Not Graduate,No,29365,28006,Yes,317,60,Yes,1,Urban,N
LN1391,Customer_1491,Male,Yes,0,Graduate,No,27459,10863,Yes,156,180,No,1,Rural,N
LN1392,Customer_1492,Male,Yes,3,Not Graduate,Yes,Unknown,33072,Yes,115,360,Unknown,1,Rural,Y
LN1393,Customer_1493,Other,No,2,Not Graduate,Yes,72205,2397,Yes,101,300,Unknown,0,Urban,N
LN1394,Customer_1494,Male,No,3,Graduate,No,59350,15698,Yes,337,360,Unknown,0,Urban,N
LN1395,Customer_1495,Female,Yes,0,Graduate,Yes,19588,22451,Yes,281,180,Unknown,0,Urban,Y
LN1396,Customer_1496,Female,Yes,0,Graduate,No,18040,35294,Yes,212,180,Unknown,0,Semiurban,Y
LN1397,Customer_1497,Other,No,3,Not Graduate,No,Unknown,46544,Yes,290,60,Unknown,0,Urban,Y
LN1398,Customer_1498,Female,Yes,0,Graduate,No,33759,39927,Yes,439,360,Yes,0,Semiurban,N
LN1399,Customer_1499,Female,Yes,1,Not Graduate,Yes,40031,12417,Yes,71,360,Yes,1,Urban,Y
LN1400,Customer_1500,Female,Yes,2,Not Graduate,No,59989,32954,Yes,542,60,Yes,1,Rural,Y
LN1401,Customer_1501,Male,No,2,Graduate,Yes,7737,32239,Yes,570,180,Unknown,1,Rural,Y
LN1402,Customer_1502,Male,Yes,0,Not Graduate,Yes,53257,1564,Yes,411,180,Unknown,0,Urban,N
LN1403,Customer_1503,Female,Yes,2,Not Graduate,No,13015,39581,Yes,108,300,Unknown,1,Urban,N
LN1404,Customer_1504,Other,No,1,Graduate,Yes,62991,34677,Yes,534,180,Unknown,0,Urban,N
LN1405,Customer_1505,Male,No,0,Not Graduate,Yes,39965,26858,Yes,678,180,No,1,Rural,N
LN1406,Customer_1506,Other,No,1,Not Graduate,Yes,18095,41237,Yes,150,120,Unknown,0,Rural,Y
LN1407,Customer_1507,Female,Yes,1,Graduate,Yes,18053,31845,Yes,389,120,Unknown,1,Rural,N
LN1408,Customer_1508,Female,No,2,Graduate,Yes,34519,17866,Yes,535,120,Unknown,0,Urban,Y
LN1409,Customer_1509,Male,Yes,2,Graduate,No,66386,21266,Yes,65,240,Unknown,0,Urban,N
LN1410,Customer_1510,Female,No,3,Not Graduate,No,55337,23362,Yes,547,60,Unknown,0,Rural,N
LN1411,Customer_1511,Male,Yes,1,Not Graduate,Yes,26063,46311,Yes,170,240,Yes,1,Semiurban,Y
LN1412,Customer_1512,Female,No,2,Not Graduate,No,74842,42837,Yes,263,180,Unknown,1,Urban,Y
LN1413,Customer_1513,Female,Yes,1,Graduate,No,15573,47377,Yes,379,120,Unknown,1,Urban,Y
LN1414,Customer_1514,Male,Yes,3,Not Graduate,No,20248,12652,Yes,133,60,Unknown,1,Semiurban,Y
LN1415,Customer_1515,Male,No,1,Not Graduate,Yes,19941,13789,Yes,230,300,Unknown,0,Rural,N
LN1416,Customer_1516,Male,No,0,Not Graduate,Yes,16088,49088,Yes,435,300,No,0,Urban,N
LN1417,Customer_1517,Female,Yes,3,Graduate,No,19124,12755,Yes,372,300,Unknown,1,Semiurban,Y
LN1418,Customer_1518,Female,No,3,Graduate,No,6819,42608,Yes,603,180,Unknown,0,Semiurban,Y
LN1419,Customer_1519,Other,Yes,1,Graduate,No,14164,34692,Yes,497,60,Yes,0,Rural,N
LN1420,Customer_1520,Male,No,1,Not Graduate,Yes,35701,30667,Yes,122,120,Yes,1,Semiurban,Y
LN1421,Customer_1521,Female,No,2,Not Graduate,Yes,52437,76980,Yes,304,180,Unknown,0,Rural,Y
LN1422,Customer_1522,Female,Yes,0,Graduate,No,35869,44759,Yes,339,180,Unknown,1,Semiurban,Y
LN1423,Customer_1523,Male,No,3,Graduate,Yes,39603,47929,Yes,549,300,Yes,1,Urban,Y
LN1424,Customer_1524,Other,No,3,Not Graduate,Yes,7235,43868,Yes,657,120,Unknown,1,Rural,Y
LN1425,Customer_1525,Male,Yes,3,Graduate,Yes,15015,26807,Yes,637,240,Unknown,0,Rural,N
LN1426,Customer_1526,Other,Yes,2,Not Graduate,No,17601,15253,Yes,51,360,Unknown,1,Semiurban,Y
LN1427,Customer_1527,Female,No,0,Graduate,Yes,10509,14135,Yes,432,180,Unknown,1,Urban,Y
LN1428,Customer_1528,Other,Yes,3,Graduate,Yes,42484,26604,Yes,161,120,Unknown,1,Semiurban,Y
LN1429,Customer_1529,Female,No,3,Graduate,No,19918,16655,Yes,253,360,Yes,0,Semiurban,N
LN1430,Customer_1530,Male,No,2,Not Graduate,No,43975,40519,Yes,75,360,No,0,Semiurban,N
LN1431,Customer_1531,Male,Yes,1,Graduate,No,44520,35011,Yes,157,240,Unknown,0,Urban,N
LN1432,Customer_1532,Male,Yes,3,Not Graduate,Yes,38693,15117,Yes,616,240,Unknown,0,Urban,N
LN1433,Customer_1533,Other,Yes,0,Graduate,Yes,29959,Unknown,Yes,323,180,No,0,Semiurban,N
LN1434,Customer_1534,Female,Yes,0,Graduate,Yes,3909,16714,Yes,591,180,Unknown,0,Rural,N
LN1435,Customer_1535,Male,Yes,0,Not Graduate,Yes,3118,38639,Yes,66,120,Unknown,1,Rural,Y
LN1436,Customer_1536,Male,Yes,0,Not Graduate,Yes,31638,10859,Yes,513,240,Unknown,0,Rural,Y
LN1437,Customer_1537,Female,No,2,Graduate,Yes,71649,10738,Yes,347,60,Unknown,0,Rural,N
LN1438,Customer_1538,Male,No,3,Not Graduate,No,21480,11663,Yes,642,240,Unknown,1,Semiurban,N
LN1439,Customer_1539,Female,Yes,2,Graduate,Yes,Unknown,40332,Yes,445,60,Yes,1,Semiurban,Y
LN1440,Customer_1540,Female,No,0,Not Graduate,Yes,38022,1827,Yes,76,120,Unknown,0,Urban,N
LN1441,Customer_1541,Female,No,0,Not Graduate,No,51707,10027,Yes,232,60,Yes,0,Rural,N
LN1442,Customer_1542,Female,No,0,Graduate,No,58255,31843,Yes,565,240,Unknown,0,Semiurban,N
LN1443,Customer_1543,Female,No,2,Graduate,Yes,69769,24333,Yes,498,300,Unknown,1,Rural,Y
LN1444,Customer_1544,Other,Yes,0,Not Graduate,Yes,31708,45916,Yes,381,360,Unknown,1,Rural,Y
LN1445,Customer_1545,Male,No,3,Not Graduate,No,33937,7184,Yes,633,300,Unknown,1,Semiurban,Y
LN1446,Customer_1546,Other,No,0,Graduate,Yes,61823,24256,Yes,505,360,Unknown,1,Semiurban,Y
LN1447,Customer_1547,Male,Yes,3,Not Graduate,No,41399,48339,Yes,637,60,Unknown,1,Semiurban,Y
LN1448,Customer_1548,Other,Yes,3,Not Graduate,No,68665,44896,Yes,469,120,Unknown,0,Rural,N
LN1449,Customer_1549,Female,Yes,0,Not Graduate,Yes,21155,18557,Yes,289,120,Yes,0,Urban,Y
LN1450,Customer_1550,Male,Yes,2,Not Graduate,No,23838,30517,Yes,561,360,Unknown,0,Rural,N
LN1451,Customer_1551,Male,No,1,Graduate,Yes,26154,36477,Yes,339,360,Yes,0,Semiurban,N
LN1452,Customer_1552,Other,Yes,1,Graduate,No,47035,129,Yes,488,360,Unknown,0,Rural,N
LN1453,Customer_1553,Other,No,3,Not Graduate,No,33294,16016,Yes,572,360,No,1,Urban,Y
LN1454,Customer_1554,Male,No,2,Not Graduate,No,73809,1558,Yes,620,180,Unknown,1,Semiurban,Y
LN1455,Customer_1555,Other,Yes,1,Graduate,Yes,8628,10453,Yes,308,240,Unknown,1,Semiurban,N
LN1456,Customer_1556,Other,Yes,0,Not Graduate,Yes,48849,19584,Yes,317,240,Unknown,1,Rural,Y
LN1457,Customer_1557,Other,Yes,0,Not Graduate,Yes,28414,13835,Yes,162,120,Unknown,0,Semiurban,N
LN1458,Customer_1558,Female,Yes,3,Not Graduate,Yes,73254,36492,Yes,634,180,Unknown,0,Urban,Y
LN1459,Customer_1559,Female,Yes,2,Not Graduate,Yes,22060,44088,Yes,454,360,Unknown,1,Semiurban,Y
LN1460,Customer_1560,Other,Yes,2,Not Graduate,Yes,3096,4693,Yes,451,180,Yes,0,Rural,N
LN1461,Customer_1561,Other,No,1,Graduate,No,14058,48401,Yes,285,360,Yes,1,Semiurban,N
LN1462,Customer_1562,Female,No,1,Not Graduate,No,15218,25190,Yes,55,60,Unknown,0,Rural,N
LN1463,Customer_1563,Female,No,0,Not Graduate,Yes,19982,32605,Yes,650,240,Unknown,0,Semiurban,N
LN1464,Customer_1564,Male,No,3,Not Graduate,Yes,63325,21646,Yes,163,360,Unknown,0,Semiurban,N
LN1465,Customer_1565,Male,Yes,2,Graduate,Yes,72499,45478,Yes,414,60,Unknown,1,Rural,Y
LN1466,Customer_1566,Female,Yes,1,Not Graduate,No,49622,26957,Yes,370,240,Yes,0,Urban,N
LN1467,Customer_1567,Other,No,1,Not Graduate,Yes,26677,16324,Yes,360,360,Unknown,0,Rural,N
LN1468,Customer_1568,Other,No,3,Graduate,Yes,47741,49839,Yes,217,60,Unknown,1,Urban,Y
LN1469,Customer_1569,Other,No,3,Graduate,Yes,69860,23684,Yes,101,120,Unknown,0,Rural,N
LN1470,Customer_1570,Other,Yes,0,Graduate,No,30166,44887,Yes,349,240,No,1,Semiurban,Y
LN1471,Customer_1571,Male,Yes,3,Graduate,No,46374,39175,Yes,111,60,No,0,Urban,N
LN1472,Customer_1572,Female,Yes,0,Not Graduate,No,549080,37010,Yes,133,120,Yes,0,Rural,N
LN1473,Customer_1573,Other,No,0,Not Graduate,No,69875,44467,Yes,402,180,No,1,Rural,Y
LN1474,Customer_1574,Male,No,3,Not Graduate,Yes,51316,10251,Yes,552,360,Unknown,0,Rural,N
LN1475,Customer_1575,Other,Yes,3,Graduate,Yes,15286,22343,Yes,524,180,No,1,Rural,Y
LN1476,Customer_1576,Female,Yes,3,Not Graduate,Yes,66539,22407,Yes,684,360,Unknown,1,Urban,Y
LN1477,Customer_1577,Male,No,3,Graduate,No,32235,6198,Yes,552,240,Unknown,0,Urban,N
LN1478,Customer_1578,Female,No,3,Graduate,Yes,62890,30949,Yes,148,360,No,0,Urban,Y
LN1479,Customer_1579,Female,Yes,0,Not Graduate,No,28552,49107,Yes,355,60,Yes,1,Urban,Y
LN1480,Customer_1580,Male,No,1,Graduate,Yes,16629,46201,Yes,364,300,Unknown,0,Rural,Y
LN1481,Customer_1581,Male,Yes,2,Graduate,Yes,49489,27484,Yes,491,300,Unknown,1,Urban,N
LN1482,Customer_1582,Male,Yes,2,Not Graduate,Yes,61958,27880,Yes,296,300,Unknown,1,Urban,Y
LN1483,Customer_1583,Male,No,0,Not Graduate,Yes,61928,10401,Yes,314,120,Yes,1,Semiurban,Y
LN1484,Customer_1584,Male,No,0,Graduate,No,41258,34385,Yes,618,300,Unknown,0,Semiurban,Y
LN1485,Customer_1585,Male,No,1,Not Graduate,No,15843,38848,Yes,474,360,Unknown,0,Urban,N
LN1486,Customer_1586,Male,Yes,3,Not Graduate,No,26988,45002,Yes,107,180,Unknown,1,Semiurban,Y
LN1487,Customer_1587,Other,No,0,Graduate,Yes,36301,46638,Yes,533,120,No,0,Semiurban,N
LN1488,Customer_1588,Female,No,2,Graduate,No,10951,1899,Yes,373,240,Unknown,1,Semiurban,Y
LN1489,Customer_1589,Male,Yes,3,Not Graduate,Yes,31715,15138,Yes,235,120,Unknown,1,Semiurban,Y
LN1490,Customer_1590,Other,Yes,0,Not Graduate,Yes,55975,34802,Yes,548,60,Unknown,1,Rural,Y
LN1491,Customer_1591,Other,No,3,Graduate,Yes,64293,44531,Yes,111,60,Unknown,0,Semiurban,N
LN1492,Customer_1592,Other,Yes,2,Not Graduate,Yes,52216,13983,Yes,642,180,Unknown,0,Rural,N
LN1493,Customer_1593,Female,Yes,3,Graduate,Yes,40109,22706,Yes,295,300,Unknown,1,Rural,Y
LN1494,Customer_1594,Male,Yes,0,Graduate,No,40850,40297,Yes,536,180,Unknown,1,Semiurban,Y
LN1495,Customer_1595,Other,No,0,Not Graduate,No,49664,7375,Yes,422,120,Unknown,1,Rural,N
LN1496,Customer_1596,Female,No,2,Not Graduate,Yes,22369,20357,Yes,564,120,Unknown,1,Rural,N
LN1497,Customer_1597,Female,Yes,1,Not Graduate,Yes,63216,27528,Yes,100,120,No,0,Rural,N
LN1498,Customer_1598,Female,Yes,1,Not Graduate,No,23639,29223,Yes,666,180,Unknown,1,Rural,Y
LN1499,Customer_1599,Other,Yes,3,Not Graduate,Yes,67305,49877,Yes,148,360,Unknown,1,Semiurban,Y
LN1500,Customer_1600,Male,No,0,Graduate,No,21506,36271,Yes,372,360,Unknown,0,Semiurban,N
LN1501,Customer_1601,Other,Yes,0,Not Graduate,Yes,Unknown,44487,Yes,641,60,Unknown,0,Rural,N
LN1502,Customer_1602,Other,Yes,2,Graduate,No,65766,48631,Yes,490,300,No,1,Semiurban,Y
LN1503,Customer_1603,Male,No,2,Not Graduate,Yes,6981,8031,Yes,453,60,Unknown,0,Urban,N
LN1504,Customer_1604,Male,Yes,0,Graduate,No,22789,25753,Yes,466,240,Unknown,1,Urban,N
LN1505,Customer_1605,Male,No,2,Not Graduate,Yes,3308,28661,Yes,204,180,Unknown,1,Semiurban,Y
LN1506,Customer_1606,Female,No,1,Not Graduate,Yes,38815,11601,Yes,591,360,Yes,1,Urban,Y
LN1507,Customer_1607,Male,No,1,Graduate,Yes,29497,18724,Yes,660,300,No,0,Semiurban,N
LN1508,Customer_1608,Other,Yes,3,Not Graduate,Yes,519590,10675,Yes,195,240,Unknown,0,Rural,Y
LN1509,Customer_1609,Male,Yes,2,Not Graduate,Yes,37785,39307,Yes,284,300,Unknown,0,Semiurban,N
LN1510,Customer_1610,Other,No,3,Graduate,No,213660,502210,Yes,523,300,Unknown,1,Rural,N
LN1511,Customer_1611,Female,Yes,2,Graduate,Yes,40649,28099,Yes,448,60,No,1,Urban,Y
LN1512,Customer_1612,Other,No,2,Graduate,Yes,29928,29455,Yes,660,60,Unknown,1,Rural,N
LN1513,Customer_1613,Other,Yes,1,Not Graduate,Yes,27105,23484,Yes,509,240,Unknown,0,Rural,Y
LN1514,Customer_1614,Male,No,0,Graduate,Yes,22843,49101,Yes,482,120,Unknown,0,Urban,N
LN1515,Customer_1615,Male,No,2,Graduate,No,73970,16784,Yes,306,360,Unknown,1,Semiurban,Y
LN1516,Customer_1616,Other,Yes,2,Not Graduate,No,36339,36978,Yes,488,360,Yes,0,Semiurban,N
LN1517,Customer_1617,Male,Yes,2,Not Graduate,No,69132,29022,Yes,586,240,Yes,0,Semiurban,N
LN1518,Customer_1618,Female,Yes,0,Not Graduate,Yes,24457,19715,Yes,224,360,Unknown,1,Semiurban,N
LN1519,Customer_1619,Female,Yes,3,Not Graduate,Yes,582220,27441,Yes,540,180,Unknown,0,Rural,N
LN1520,Customer_1620,Male,No,3,Not Graduate,Yes,71907,37739,Yes,332,180,Yes,0,Rural,N
LN1521,Customer_1621,Female,No,2,Not Graduate,Yes,3157,17633,Yes,654,180,Unknown,0,Urban,N
LN1522,Customer_1622,Male,Yes,2,Graduate,Yes,61266,48613,Yes,611,240,Unknown,1,Urban,Y
LN1523,Customer_1623,Other,Yes,3,Graduate,No,6318,4226,Yes,268,60,Unknown,1,Rural,Y
LN1524,Customer_1624,Other,No,3,Not Graduate,No,62690,22791,Yes,205,300,Unknown,0,Urban,Y
LN1525,Customer_1625,Female,Yes,1,Graduate,No,71148,22027,Yes,106,300,Unknown,1,Semiurban,Y
LN1526,Customer_1626,Male,Yes,2,Graduate,Yes,23946,34722,Yes,560,120,Unknown,0,Rural,N
LN1527,Customer_1627,Male,Yes,3,Graduate,No,15020,23361,Yes,387,120,Unknown,0,Urban,Y
LN1528,Customer_1628,Female,Yes,1,Graduate,No,33247,41308,Yes,321,180,Unknown,0,Urban,Y
LN1529,Customer_1629,Other,No,0,Not Graduate,Yes,3443,43478,Yes,233,180,Unknown,1,Semiurban,N
LN1530,Customer_1630,Female,No,2,Not Graduate,No,41741,41073,Yes,340,240,Unknown,0,Rural,N
LN1531,Customer_1631,Other,Yes,3,Graduate,Yes,20288,6161,Yes,351,180,Yes,0,Urban,N
LN1532,Customer_1632,Male,No,2,Not Graduate,Yes,5910,369290,Yes,628,180,Unknown,1,Urban,N
LN1533,Customer_1633,Other,Yes,1,Graduate,Yes,47169,38229,Yes,296,180,Yes,0,Urban,N
LN1534,Customer_1634,Female,Yes,3,Graduate,Yes,20309,9677,Yes,65,360,Yes,1,Semiurban,Y
LN1535,Customer_1635,Male,Yes,0,Not Graduate,Yes,17265,1628,Yes,384,300,Unknown,1,Urban,Y
LN1536,Customer_1636,Female,No,0,Graduate,No,27235,7980,Yes,260,360,Yes,0,Rural,N
LN1537,Customer_1637,Female,No,1,Not Graduate,Yes,58082,37006,Yes,635,60,Unknown,1,Semiurban,Y
LN1538,Customer_1638,Other,No,0,Not Graduate,Yes,61095,31374,Yes,422,180,Unknown,1,Rural,N
LN1539,Customer_1639,Female,No,0,Not Graduate,No,5922,46892,Yes,455,180,Unknown,1,Semiurban,Y
LN1540,Customer_1640,Other,No,0,Not Graduate,Yes,61006,11875,Yes,579,360,No,0,Urban,N
LN1541,Customer_1641,Male,Yes,0,Not Graduate,Yes,43323,22980,Yes,71,360,Unknown,1,Rural,Y
LN1542,Customer_1642,Other,Yes,0,Not Graduate,No,30771,18882,Yes,667,240,Unknown,1,Urban,Y
LN1543,Customer_1643,Male,No,0,Not Graduate,No,12776,34763,Yes,168,240,Unknown,1,Rural,Y
LN1544,Customer_1644,Other,No,0,Not Graduate,Yes,69455,10301,Yes,577,180,Unknown,0,Urban,Y
LN1545,Customer_1645,Female,No,3,Not Graduate,No,40772,595,Yes,233,360,Unknown,0,Urban,N
LN1546,Customer_1646,Other,Yes,0,Graduate,Yes,56371,17323,Yes,564,60,Yes,1,Rural,Y
LN1547,Customer_1647,Other,No,3,Not Graduate,No,23954,21798,Yes,541,240,Unknown,1,Semiurban,N
LN1548,Customer_1648,Male,Yes,2,Graduate,No,23837,46146,Yes,555,120,Unknown,1,Rural,N
LN1549,Customer_1649,Female,Yes,1,Not Graduate,Yes,8575,26670,Yes,684,360,Yes,1,Semiurban,Y
LN1550,Customer_1650,Other,No,0,Graduate,Yes,54105,35784,Yes,486,300,Yes,0,Rural,N
LN1551,Customer_1651,Female,Yes,1,Not Graduate,Yes,54720,9589,Yes,154,120,Unknown,0,Rural,Y
LN1552,Customer_1652,Other,Yes,0,Not Graduate,No,57080,35637,Yes,152,120,Unknown,0,Rural,N
LN1553,Customer_1653,Other,No,3,Not Graduate,No,35309,45715,Yes,257,60,Unknown,1,Semiurban,N
LN1554,Customer_1654,Female,Yes,0,Graduate,No,309540,15097,Yes,96,360,Yes,1,Urban,N
LN1555,Customer_1655,Other,No,2,Graduate,Yes,52594,42120,Yes,353,60,Unknown,1,Semiurban,Y
LN1556,Customer_1656,Female,Yes,1,Not Graduate,No,36368,48222,Yes,216,180,Unknown,0,Urban,N
LN1557,Customer_1657,Other,No,1,Graduate,Yes,14580,6381,Yes,543,300,Unknown,0,Urban,N
LN1558,Customer_1658,Male,No,2,Not Graduate,Yes,23966,25371,Yes,136,240,Yes,0,Rural,Y
LN1559,Customer_1659,Female,Yes,3,Graduate,No,71322,48959,Yes,275,60,Unknown,1,Rural,Y
LN1560,Customer_1660,Other,No,3,Graduate,No,18231,36898,Yes,169,240,Yes,1,Urban,Y
LN1561,Customer_1661,Other,Yes,2,Graduate,No,14840,30588,Yes,297,180,Unknown,1,Semiurban,Y
LN1562,Customer_1662,Male,Yes,1,Not Graduate,No,5052,2917,Yes,554,300,Unknown,0,Rural,N
LN1563,Customer_1663,Female,No,0,Graduate,No,36399,27115,Yes,402,60,Unknown,1,Urban,Y
LN1564,Customer_1664,Other,Yes,3,Graduate,Yes,71978,4353,Yes,193,300,Yes,1,Rural,Y
LN1565,Customer_1665,Male,No,0,Not Graduate,No,4754,10626,Yes,399,120,Unknown,0,Semiurban,N
LN1566,Customer_1666,Other,Yes,1,Not Graduate,Yes,68525,4365,Yes,564,120,Unknown,0,Rural,N
LN1567,Customer_1667,Female,Yes,0,Graduate,No,3025,26576,Yes,366,300,Yes,0,Urban,N
LN1568,Customer_1668,Other,No,2,Graduate,No,13401,47970,Yes,75,60,Unknown,0,Urban,N
LN1569,Customer_1669,Other,Yes,3,Not Graduate,Yes,9553,19502,Yes,579,60,Yes,1,Rural,N
LN1570,Customer_1670,Other,Yes,3,Not Graduate,No,74295,23133,Yes,371,60,Unknown,0,Semiurban,N
LN1571,Customer_1671,Other,Yes,2,Not Graduate,No,10755,43701,Yes,345,360,Yes,1,Semiurban,N
LN1572,Customer_1672,Male,Yes,2,Not Graduate,Yes,36897,9145,Yes,180,60,Unknown,1,Urban,N
LN1573,Customer_1673,Male,Yes,3,Not Graduate,Yes,48064,26301,Yes,66,360,Unknown,0,Rural,N
LN1574,Customer_1674,Female,Yes,3,Graduate,No,41409,42546,Yes,631,360,Yes,0,Urban,Y
LN1575,Customer_1675,Male,Yes,3,Not Graduate,No,58049,18125,Yes,234,300,Unknown,1,Semiurban,Y
LN1576,Customer_1676,Male,Yes,1,Not Graduate,No,49669,539430,Yes,98,240,Yes,0,Rural,N
LN1577,Customer_1677,Female,No,1,Graduate,Yes,17371,2458,Yes,125,360,Unknown,0,Semiurban,N
LN1578,Customer_1678,Male,Yes,1,Not Graduate,No,72431,27468,Yes,577,240,Unknown,0,Urban,N
LN1579,Customer_1679,Male,Yes,0,Not Graduate,No,7797,39123,Yes,55,360,Yes,1,Rural,N
LN1580,Customer_1680,Female,No,1,Not Graduate,No,48809,46000,Yes,83,300,Unknown,1,Semiurban,Y
LN1581,Customer_1681,Female,No,3,Graduate,Yes,70364,7063,Yes,108,360,Unknown,0,Rural,N
LN1582,Customer_1682,Female,No,1,Not Graduate,No,19943,36105,Yes,116,60,Unknown,0,Rural,N
LN1583,Customer_1683,Other,Yes,3,Not Graduate,Yes,29831,6003,Yes,304,240,Unknown,1,Semiurban,Y
LN1584,Customer_1684,Other,No,2,Not Graduate,Yes,45044,11024,Yes,452,180,Yes,0,Urban,N
LN1585,Customer_1685,Female,No,0,Not Graduate,Yes,27814,17173,Yes,206,60,Unknown,0,Semiurban,N
LN1586,Customer_1686,Female,Yes,0,Graduate,Yes,63258,6458,Yes,81,240,Yes,1,Semiurban,Y
LN1587,Customer_1687,Female,Yes,2,Graduate,Yes,62439,41259,Yes,59,180,Unknown,1,Rural,Y
LN1588,Customer_1688,Other,No,3,Not Graduate,No,41355,17705,Yes,424,60,Unknown,1,Rural,Y
LN1589,Customer_1689,Other,No,0,Not Graduate,Yes,62389,47035,Yes,398,240,Unknown,1,Semiurban,Y
LN1590,Customer_1690,Male,Yes,1,Not Graduate,No,18784,40423,Yes,638,60,No,0,Semiurban,N
LN1591,Customer_1691,Male,Yes,3,Not Graduate,No,6683,2109,Yes,581,60,Yes,1,Urban,Y
LN1592,Customer_1692,Female,Yes,0,Not Graduate,Yes,10347,13365,Yes,205,360,Unknown,1,Rural,Y
LN1593,Customer_1693,Other,Yes,2,Not Graduate,Yes,46097,36214,Yes,76,360,Yes,1,Semiurban,Y
LN1594,Customer_1694,Other,Yes,3,Not Graduate,Yes,59499,15212,Yes,202,240,Unknown,0,Urban,Y
LN1595,Customer_1695,Other,No,0,Graduate,Yes,17072,29145,Yes,334,360,Unknown,1,Rural,N
LN1596,Customer_1696,Female,Yes,2,Not Graduate,No,Unknown,12399,Yes,677,360,Unknown,0,Urban,Y
LN1597,Customer_1697,Male,Yes,3,Graduate,No,55832,5085,Yes,299,300,No,1,Semiurban,Y
LN1598,Customer_1698,Female,Yes,1,Graduate,Yes,43966,23820,Yes,478,120,No,0,Rural,N
LN1599,Customer_1699,Male,Yes,3,Not Graduate,Yes,34041,14659,Yes,606,120,No,0,Urban,N
LN1600,Customer_1700,Male,Yes,1,Graduate,No,72034,33386,Yes,335,60,Unknown,1,Semiurban,Y
LN1601,Customer_1701,Female,No,3,Graduate,No,35256,21274,Yes,555,240,Unknown,1,Urban,Y
LN1602,Customer_1702,Male,Yes,2,Graduate,Yes,17905,9074,Yes,343,120,Yes,1,Urban,N
LN1603,Customer_1703,Male,No,1,Not Graduate,No,70673,1703,Yes,493,180,Unknown,1,Semiurban,Y
LN1604,Customer_1704,Other,Yes,1,Graduate,No,57100,40521,Yes,337,240,Yes,1,Rural,Y
LN1605,Customer_1705,Male,No,3,Graduate,No,73996,10987,Yes,355,240,Unknown,1,Semiurban,Y
LN1606,Customer_1706,Female,No,0,Not Graduate,Yes,42666,29780,Yes,120,180,Unknown,1,Rural,Y
LN1607,Customer_1707,Female,Yes,1,Not Graduate,Yes,16310,44788,Yes,212,120,Unknown,1,Urban,N
LN1608,Customer_1708,Male,Yes,3,Graduate,No,Unknown,25083,Yes,530,180,Unknown,0,Urban,Y
LN1609,Customer_1709,Other,Yes,2,Not Graduate,Yes,34917,22755,Yes,637,360,Yes,1,Semiurban,Y
LN1610,Customer_1710,Other,Yes,3,Not Graduate,No,57666,10227,Yes,392,240,Unknown,1,Urban,Y
LN1611,Customer_1711,Male,Yes,3,Graduate,No,4702,34185,Yes,566,300,Unknown,1,Urban,Y
LN1612,Customer_1712,Male,No,1,Graduate,Yes,60873,38926,Yes,156,180,Unknown,1,Rural,Y
LN1613,Customer_1713,Female,Yes,0,Graduate,Yes,23058,7148,Yes,680,240,Unknown,0,Semiurban,N
LN1614,Customer_1714,Male,Yes,2,Not Graduate,No,44262,35628,Yes,658,60,Yes,1,Rural,Y
LN1615,Customer_1715,Other,No,1,Graduate,Yes,17537,30900,Yes,547,60,Unknown,1,Semiurban,N
LN1616,Customer_1716,Male,Yes,1,Graduate,Yes,23635,11771,Yes,50,240,Yes,0,Urban,N
LN1617,Customer_1717,Female,No,1,Not Graduate,Yes,31544,2385,Yes,647,180,Unknown,0,Urban,N
LN1618,Customer_1718,Female,Yes,2,Not Graduate,Yes,68549,925,Yes,525,300,Unknown,0,Semiurban,N
LN1619,Customer_1719,Female,No,0,Not Graduate,No,54955,38989,Yes,502,240,Unknown,1,Semiurban,Y
LN1620,Customer_1720,Female,Yes,2,Not Graduate,No,40308,32996,Yes,114,360,Unknown,1,Semiurban,Y
