,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Owns_House,Property_Area,Loan_Status,Has_CreditCard
1443,Female,No,2,Graduate,Yes,69769,24333,498,300,1,Rural,Y,Yes
1444,Other,Yes,0,Not Graduate,Yes,31708,45916,381,360,1,Rural,Y,Yes
1445,Male,No,3,Not Graduate,No,33937,7184,633,300,1,Semiurban,Y,Yes
1446,Other,No,0,Graduate,Yes,61823,24256,505,360,1,Semiurban,Y,Yes
1447,Male,Yes,3,Not Graduate,No,41399,48339,637,60,1,Semiurban,Y,Yes
1448,Other,Yes,3,Not Graduate,No,68665,44896,469,120,0,Rural,N,Yes
1449,Female,Yes,0,Not Graduate,Yes,21155,18557,289,120,0,Urban,Y,Yes
1450,Male,Yes,2,Not Graduate,No,23838,30517,561,360,0,Rural,N,Yes
1451,Male,No,1,Graduate,Yes,26154,36477,339,360,0,Semiurban,N,Yes
1452,Other,Yes,1,Graduate,No,47035,129,488,360,0,Rural,N,Yes
1453,Other,No,3,Not Graduate,No,33294,16016,572,360,1,Urban,Y,Yes
1454,Male,No,2,Not Graduate,No,73809,1558,620,180,1,Semiurban,Y,Yes
1455,Other,Yes,1,Graduate,Yes,8628,10453,308,240,1,Semiurban,N,Yes
1456,Other,Yes,0,Not Graduate,Yes,48849,19584,317,240,1,Rural,Y,Yes
1457,Other,Yes,0,Not Graduate,Yes,28414,13835,162,120,0,Semiurban,N,Yes
1458,Female,Yes,3,Not Graduate,Yes,73254,36492,634,180,0,Urban,Y,Yes
1459,Female,Yes,2,Not Graduate,Yes,22060,44088,454,360,1,Semiurban,Y,Yes
1460,Other,Yes,2,Not Graduate,Yes,3096,4693,451,180,0,Rural,N,Yes
1461,Other,No,1,Graduate,No,14058,48401,285,360,1,Semiurban,N,Yes
1462,Female,No,1,Not Graduate,No,15218,25190,55,60,0,Rural,N,Yes
1463,Female,No,0,Not Graduate,Yes,19982,32605,650,240,0,Semiurban,N,Yes
1464,Male,No,3,Not Graduate,Yes,63325,21646,163,360,0,Semiurban,N,Yes
1465,Male,Yes,2,Graduate,Yes,72499,45478,414,60,1,Rural,Y,Yes
1466,Female,Yes,1,Not Graduate,No,49622,26957,370,240,0,Urban,N,Yes
1467,Other,No,1,Not Graduate,Yes,26677,16324,360,360,0,Rural,N,Yes
1468,Other,No,3,Graduate,Yes,47741,49839,217,60,1,Urban,Y,Yes
1469,Other,No,3,Graduate,Yes,69860,23684,101,120,0,Rural,N,Yes
1470,Other,Yes,0,Graduate,No,30166,44887,349,240,1,Semiurban,Y,Yes
1471,Male,Yes,3,Graduate,No,46374,39175,111,60,0,Urban,N,Yes
1473,Other,No,0,Not Graduate,No,69875,44467,402,180,1,Rural,Y,Yes
1474,Male,No,3,Not Graduate,Yes,51316,10251,552,360,0,Rural,N,Yes
1475,Other,Yes,3,Graduate,Yes,15286,22343,524,180,1,Rural,Y,Yes
1476,Female,Yes,3,Not Graduate,Yes,66539,22407,684,360,1,Urban,Y,Yes
1477,Male,No,3,Graduate,No,32235,6198,552,240,0,Urban,N,Yes
1478,Female,No,3,Graduate,Yes,62890,30949,148,360,0,Urban,Y,Yes
1479,Female,Yes,0,Not Graduate,No,28552,49107,355,60,1,Urban,Y,Yes
1480,Male,No,1,Graduate,Yes,16629,46201,364,300,0,Rural,Y,Yes
1481,Male,Yes,2,Graduate,Yes,49489,27484,491,300,1,Urban,N,Yes
1482,Male,Yes,2,Not Graduate,Yes,61958,27880,296,300,1,Urban,Y,Yes
1483,Male,No,0,Not Graduate,Yes,61928,10401,314,120,1,Semiurban,Y,Yes
1484,Male,No,0,Graduate,No,41258,34385,618,300,0,Semiurban,Y,Yes
1485,Male,No,1,Not Graduate,No,15843,38848,474,360,0,Urban,N,Yes
1486,Male,Yes,3,Not Graduate,No,26988,45002,107,180,1,Semiurban,Y,Yes
1487,Other,No,0,Graduate,Yes,36301,46638,533,120,0,Semiurban,N,Yes
1488,Female,No,2,Graduate,No,10951,1899,373,240,1,Semiurban,Y,Yes
1489,Male,Yes,3,Not Graduate,Yes,31715,15138,235,120,1,Semiurban,Y,Yes
1490,Other,Yes,0,Not Graduate,Yes,55975,34802,548,60,1,Rural,Y,Yes
1491,Other,No,3,Graduate,Yes,64293,44531,111,60,0,Semiurban,N,Yes
1492,Other,Yes,2,Not Graduate,Yes,52216,13983,642,180,0,Rural,N,Yes
1493,Female,Yes,3,Graduate,Yes,40109,22706,295,300,1,Rural,Y,Yes
1494,Male,Yes,0,Graduate,No,40850,40297,536,180,1,Semiurban,Y,Yes
1495,Other,No,0,Not Graduate,No,49664,7375,422,120,1,Rural,N,Yes
1496,Female,No,2,Not Graduate,Yes,22369,20357,564,120,1,Rural,N,Yes
1497,Female,Yes,1,Not Graduate,Yes,63216,27528,100,120,0,Rural,N,Yes
1498,Female,Yes,1,Not Graduate,No,23639,29223,666,180,1,Rural,Y,Yes
1499,Other,Yes,3,Not Graduate,Yes,67305,49877,148,360,1,Semiurban,Y,Yes
1500,Male,No,0,Graduate,No,21506,36271,372,360,0,Semiurban,N,Yes
1501,Other,Yes,0,Not Graduate,Yes,10747,44487,641,60,0,Rural,N,Yes
1502,Other,Yes,2,Graduate,No,65766,48631,490,300,1,Semiurban,Y,Yes
1503,Male,No,2,Not Graduate,Yes,6981,8031,453,60,0,Urban,N,Yes
1504,Male,Yes,0,Graduate,No,22789,25753,466,240,1,Urban,N,Yes
1505,Male,No,2,Not Graduate,Yes,3308,28661,204,180,1,Semiurban,Y,Yes
1506,Female,No,1,Not Graduate,Yes,38815,11601,591,360,1,Urban,Y,Yes
1507,Male,No,1,Graduate,Yes,29497,18724,660,300,0,Semiurban,N,Yes
1509,Male,Yes,2,Not Graduate,Yes,37785,39307,284,300,0,Semiurban,N,Yes
1511,Female,Yes,2,Graduate,Yes,40649,28099,448,60,1,Urban,Y,Yes
1512,Other,No,2,Graduate,Yes,29928,29455,660,60,1,Rural,N,Yes
1513,Other,Yes,1,Not Graduate,Yes,27105,23484,509,240,0,Rural,Y,Yes
1514,Male,No,0,Graduate,Yes,22843,49101,482,120,0,Urban,N,Yes
1515,Male,No,2,Graduate,No,73970,16784,306,360,1,Semiurban,Y,Yes
1516,Other,Yes,2,Not Graduate,No,36339,36978,488,360,0,Semiurban,N,Yes
1517,Male,Yes,2,Not Graduate,No,69132,29022,586,240,0,Semiurban,N,Yes
1518,Female,Yes,0,Not Graduate,Yes,24457,19715,224,360,1,Semiurban,N,Yes
1520,Male,No,3,Not Graduate,Yes,71907,37739,332,180,0,Rural,N,Yes
1521,Female,No,2,Not Graduate,Yes,3157,17633,654,180,0,Urban,N,Yes
1522,Male,Yes,2,Graduate,Yes,61266,48613,611,240,1,Urban,Y,Yes
1523,Other,Yes,3,Graduate,No,6318,4226,268,60,1,Rural,Y,Yes
1524,Other,No,3,Not Graduate,No,62690,22791,205,300,0,Urban,Y,Yes
1525,Female,Yes,1,Graduate,No,71148,22027,106,300,1,Semiurban,Y,Yes
1526,Male,Yes,2,Graduate,Yes,23946,34722,560,120,0,Rural,N,Yes
1527,Male,Yes,3,Graduate,No,15020,23361,387,120,0,Urban,Y,Yes
1528,Female,Yes,1,Graduate,No,33247,41308,321,180,0,Urban,Y,Yes
1529,Other,No,0,Not Graduate,Yes,3443,43478,233,180,1,Semiurban,N,Yes
1530,Female,No,2,Not Graduate,No,41741,41073,340,240,0,Rural,N,Yes
1531,Other,Yes,3,Graduate,Yes,20288,6161,351,180,0,Urban,N,Yes
1533,Other,Yes,1,Graduate,Yes,47169,38229,296,180,0,Urban,N,Yes
1534,Female,Yes,3,Graduate,Yes,20309,9677,65,360,1,Semiurban,Y,Yes
1535,Male,Yes,0,Not Graduate,Yes,17265,1628,384,300,1,Urban,Y,Yes
1536,Female,No,0,Graduate,No,27235,7980,260,360,0,Rural,N,Yes
1537,Female,No,1,Not Graduate,Yes,58082,37006,635,60,1,Semiurban,Y,Yes
1538,Other,No,0,Not Graduate,Yes,61095,31374,422,180,1,Rural,N,Yes
1539,Female,No,0,Not Graduate,No,5922,46892,455,180,1,Semiurban,Y,Yes
1540,Other,No,0,Not Graduate,Yes,61006,11875,579,360,0,Urban,N,Yes
1541,Male,Yes,0,Not Graduate,Yes,43323,22980,71,360,1,Rural,Y,Yes
1542,Other,Yes,0,Not Graduate,No,30771,18882,667,240,1,Urban,Y,Yes
1543,Male,No,0,Not Graduate,No,12776,34763,168,240,1,Rural,Y,Yes
1544,Other,No,0,Not Graduate,Yes,69455,10301,577,180,0,Urban,Y,Yes
1545,Female,No,3,Not Graduate,No,40772,595,233,360,0,Urban,N,Yes
1546,Other,Yes,0,Graduate,Yes,56371,17323,564,60,1,Rural,Y,Yes
1547,Other,No,3,Not Graduate,No,23954,21798,541,240,1,Semiurban,N,Yes
1548,Male,Yes,2,Graduate,No,23837,46146,555,120,1,Rural,N,Yes
1549,Female,Yes,1,Not Graduate,Yes,8575,26670,684,360,1,Semiurban,Y,Yes
1550,Other,No,0,Graduate,Yes,54105,35784,486,300,0,Rural,N,Yes
1551,Female,Yes,1,Not Graduate,Yes,54720,9589,154,120,0,Rural,Y,Yes
1552,Other,Yes,0,Not Graduate,No,57080,35637,152,120,0,Rural,N,Yes
1553,Other,No,3,Not Graduate,No,35309,45715,257,60,1,Semiurban,N,Yes
1555,Other,No,2,Graduate,Yes,52594,42120,353,60,1,Semiurban,Y,Yes
1556,Female,Yes,1,Not Graduate,No,36368,48222,216,180,0,Urban,N,Yes
1557,Other,No,1,Graduate,Yes,14580,6381,543,300,0,Urban,N,Yes
1558,Male,No,2,Not Graduate,Yes,23966,25371,136,240,0,Rural,Y,Yes
1559,Female,Yes,3,Graduate,No,71322,48959,275,60,1,Rural,Y,Yes
1560,Other,No,3,Graduate,No,18231,36898,169,240,1,Urban,Y,Yes
1561,Other,Yes,2,Graduate,No,14840,30588,297,180,1,Semiurban,Y,Yes
1562,Male,Yes,1,Not Graduate,No,5052,2917,554,300,0,Rural,N,Yes
1563,Female,No,0,Graduate,No,36399,27115,402,60,1,Urban,Y,Yes
1564,Other,Yes,3,Graduate,Yes,71978,4353,193,300,1,Rural,Y,Yes
1565,Male,No,0,Not Graduate,No,4754,10626,399,120,0,Semiurban,N,Yes
1566,Other,Yes,1,Not Graduate,Yes,68525,4365,564,120,0,Rural,N,Yes
1567,Female,Yes,0,Graduate,No,3025,26576,366,300,0,Urban,N,Yes
1568,Other,No,2,Graduate,No,13401,47970,75,60,0,Urban,N,Yes
1569,Other,Yes,3,Not Graduate,Yes,9553,19502,579,60,1,Rural,N,Yes
1570,Other,Yes,3,Not Graduate,No,74295,23133,371,60,0,Semiurban,N,Yes
1571,Other,Yes,2,Not Graduate,No,10755,43701,345,360,1,Semiurban,N,Yes
1572,Male,Yes,2,Not Graduate,Yes,36897,9145,180,60,1,Urban,N,Yes
1573,Male,Yes,3,Not Graduate,Yes,48064,26301,66,360,0,Rural,N,Yes
1574,Female,Yes,3,Graduate,No,41409,42546,631,360,0,Urban,Y,Yes
1575,Male,Yes,3,Not Graduate,No,58049,18125,234,300,1,Semiurban,Y,Yes
1577,Female,No,1,Graduate,Yes,17371,2458,125,360,0,Semiurban,N,Yes
1578,Male,Yes,1,Not Graduate,No,72431,27468,577,240,0,Urban,N,Yes
1579,Male,Yes,0,Not Graduate,No,7797,39123,55,360,1,Rural,N,Yes
1580,Female,No,1,Not Graduate,No,48809,46000,83,300,1,Semiurban,Y,Yes
1581,Female,No,3,Graduate,Yes,70364,7063,108,360,0,Rural,N,Yes
1582,Female,No,1,Not Graduate,No,19943,36105,116,60,0,Rural,N,Yes
1583,Other,Yes,3,Not Graduate,Yes,29831,6003,304,240,1,Semiurban,Y,Yes
1584,Other,No,2,Not Graduate,Yes,45044,11024,452,180,0,Urban,N,Yes
1585,Female,No,0,Not Graduate,Yes,27814,17173,206,60,0,Semiurban,N,Yes
1586,Female,Yes,0,Graduate,Yes,63258,6458,81,240,1,Semiurban,Y,Yes
1587,Female,Yes,2,Graduate,Yes,62439,41259,59,180,1,Rural,Y,Yes
1588,Other,No,3,Not Graduate,No,41355,17705,424,60,1,Rural,Y,Yes
1589,Other,No,0,Not Graduate,Yes,62389,47035,398,240,1,Semiurban,Y,Yes
1590,Male,Yes,1,Not Graduate,No,18784,40423,638,60,0,Semiurban,N,Yes
1591,Male,Yes,3,Not Graduate,No,6683,2109,581,60,1,Urban,Y,Yes
1592,Female,Yes,0,Not Graduate,Yes,10347,13365,205,360,1,Rural,Y,Yes
1593,Other,Yes,2,Not Graduate,Yes,46097,36214,76,360,1,Semiurban,Y,Yes
1594,Other,Yes,3,Not Graduate,Yes,59499,15212,202,240,0,Urban,Y,Yes
1595,Other,No,0,Graduate,Yes,17072,29145,334,360,1,Rural,N,Yes
1596,Female,Yes,2,Not Graduate,No,31755,12399,677,360,0,Urban,Y,Yes
1597,Male,Yes,3,Graduate,No,55832,5085,299,300,1,Semiurban,Y,Yes
1598,Female,Yes,1,Graduate,Yes,43966,23820,478,120,0,Rural,N,Yes
1599,Male,Yes,3,Not Graduate,Yes,34041,14659,606,120,0,Urban,N,Yes
1600,Male,Yes,1,Graduate,No,72034,33386,335,60,1,Semiurban,Y,Yes
1601,Female,No,3,Graduate,No,35256,21274,555,240,1,Urban,Y,Yes
1602,Male,Yes,2,Graduate,Yes,17905,9074,343,120,1,Urban,N,Yes
1603,Male,No,1,Not Graduate,No,70673,1703,493,180,1,Semiurban,Y,Yes
1604,Other,Yes,1,Graduate,No,57100,40521,337,240,1,Rural,Y,Yes
1605,Male,No,3,Graduate,No,73996,10987,355,240,1,Semiurban,Y,Yes
1606,Female,No,0,Not Graduate,Yes,42666,29780,120,180,1,Rural,Y,Yes
1607,Female,Yes,1,Not Graduate,Yes,16310,44788,212,120,1,Urban,N,Yes
1608,Male,Yes,3,Graduate,No,49653,25083,530,180,0,Urban,Y,Yes
1609,Other,Yes,2,Not Graduate,Yes,34917,22755,637,360,1,Semiurban,Y,Yes
1610,Other,Yes,3,Not Graduate,No,57666,10227,392,240,1,Urban,Y,Yes
1611,Male,Yes,3,Graduate,No,4702,34185,566,300,1,Urban,Y,Yes
1612,Male,No,1,Graduate,Yes,60873,38926,156,180,1,Rural,Y,Yes
1613,Female,Yes,0,Graduate,Yes,23058,7148,680,240,0,Semiurban,N,Yes
1614,Male,Yes,2,Not Graduate,No,44262,35628,658,60,1,Rural,Y,Yes
1615,Other,No,1,Graduate,Yes,17537,30900,547,60,1,Semiurban,N,Yes
1616,Male,Yes,1,Graduate,Yes,23635,11771,50,240,0,Urban,N,Yes
1617,Female,No,1,Not Graduate,Yes,31544,2385,647,180,0,Urban,N,Yes
1618,Female,Yes,2,Not Graduate,Yes,68549,925,525,300,0,Semiurban,N,Yes
1619,Female,No,0,Not Graduate,No,54955,38989,502,240,1,Semiurban,Y,Yes
1620,Female,Yes,2,Not Graduate,No,40308,32996,114,360,1,Semiurban,Y,Yes
1621,Female,No,2,Graduate,Yes,5169,15389,534,360,1,Urban,Y,Yes
1622,Male,No,0,Graduate,No,13423,26997,664,360,1,Rural,N,Yes
1623,Male,Yes,2,Graduate,Yes,45803,29488,471,300,0,Urban,N,Yes
1624,Male,Yes,3,Not Graduate,Yes,11017,44216,585,120,0,Urban,N,Yes
1625,Male,Yes,2,Graduate,Yes,46678,22975,200,360,0,Urban,N,Yes
1627,Other,No,2,Not Graduate,No,35948,37310,464,120,0,Urban,N,Yes
1628,Male,No,1,Not Graduate,No,47111,6575,56,180,0,Rural,N,Yes
1629,Other,Yes,2,Graduate,Yes,33860,40104,565,300,1,Semiurban,Y,Yes
1630,Male,Yes,1,Not Graduate,No,57012,27728,515,360,1,Urban,Y,Yes
1631,Male,No,1,Graduate,No,50574,37661,153,240,1,Urban,Y,Yes
1633,Female,No,0,Graduate,Yes,69822,40194,613,300,1,Urban,Y,Yes
1634,Male,Yes,2,Not Graduate,Yes,44666,43995,643,360,0,Semiurban,Y,Yes
1635,Male,Yes,2,Graduate,Yes,27869,2596,609,360,0,Semiurban,N,Yes
1636,Male,No,3,Graduate,No,74164,7221,400,360,0,Semiurban,Y,Yes
1637,Other,Yes,3,Not Graduate,No,32093,25429,415,300,1,Semiurban,Y,Yes
1639,Other,Yes,2,Not Graduate,Yes,69196,17507,292,60,1,Urban,Y,Yes
1640,Other,Yes,0,Graduate,Yes,51016,34388,269,240,1,Semiurban,Y,Yes
1641,Female,Yes,1,Not Graduate,Yes,22562,20358,257,240,0,Urban,N,Yes
1642,Other,No,2,Not Graduate,No,71925,14933,688,120,0,Rural,N,Yes
1643,Female,Yes,0,Not Graduate,Yes,58553,46654,231,120,1,Rural,Y,Yes
1644,Male,No,0,Not Graduate,Yes,60279,34238,478,120,1,Urban,Y,Yes
1645,Female,Yes,2,Not Graduate,No,38608,48319,84,120,0,Urban,N,Yes
1646,Male,Yes,1,Graduate,Yes,63840,10653,470,240,1,Semiurban,Y,Yes
1647,Other,No,0,Graduate,Yes,13770,15300,252,120,1,Semiurban,Y,Yes
1648,Other,No,2,Graduate,Yes,58461,29232,211,180,0,Rural,Y,Yes
1649,Male,Yes,1,Graduate,Yes,29627,9848,457,60,1,Rural,Y,Yes
1650,Other,Yes,3,Not Graduate,Yes,9146,3110,398,300,0,Urban,N,Yes
1651,Female,No,0,Not Graduate,No,62753,37409,53,60,0,Rural,N,Yes
1652,Male,No,0,Graduate,No,55079,19813,410,300,0,Urban,Y,Yes
1653,Other,No,2,Not Graduate,No,61074,7176,639,240,1,Urban,Y,Yes
1654,Male,No,2,Graduate,No,65507,8379,407,300,1,Rural,Y,Yes
1655,Female,Yes,1,Not Graduate,Yes,26251,45663,677,300,1,Urban,Y,Yes
1656,Female,Yes,3,Not Graduate,Yes,34896,6788,85,360,1,Urban,Y,Yes
1657,Other,Yes,3,Graduate,Yes,42113,6282,384,120,1,Urban,Y,Yes
1658,Female,Yes,2,Graduate,Yes,56711,46682,340,120,0,Urban,N,Yes
1659,Male,Yes,2,Not Graduate,Yes,16322,5375,334,360,1,Semiurban,N,Yes
1660,Female,No,1,Graduate,Yes,10747,32403,85,240,1,Rural,Y,Yes
1661,Male,No,2,Graduate,No,61697,18610,373,180,0,Rural,Y,Yes
1662,Male,No,1,Graduate,Yes,38903,1340,512,240,0,Urban,N,Yes
1663,Female,Yes,1,Graduate,Yes,70813,41638,444,180,0,Rural,N,Yes
1664,Other,No,3,Not Graduate,No,43970,41575,616,180,1,Rural,Y,Yes
1665,Female,Yes,1,Not Graduate,No,70192,7983,98,360,1,Semiurban,Y,Yes
1666,Male,Yes,3,Not Graduate,Yes,45207,41809,512,240,1,Semiurban,Y,Yes
1667,Male,Yes,3,Not Graduate,No,53812,34775,362,120,0,Semiurban,Y,Yes
1668,Female,No,3,Graduate,No,35403,48411,404,60,0,Semiurban,N,Yes
1669,Other,Yes,2,Graduate,Yes,37531,32088,392,240,1,Semiurban,Y,Yes
1670,Other,Yes,3,Graduate,Yes,67009,45782,104,240,1,Urban,Y,Yes
1671,Male,No,1,Not Graduate,No,18413,27360,361,60,0,Rural,N,Yes
1672,Male,Yes,2,Not Graduate,No,43633,8977,309,180,1,Semiurban,Y,Yes
1674,Female,Yes,2,Not Graduate,No,38385,46661,137,120,1,Rural,Y,Yes
1675,Male,No,1,Graduate,No,53578,8554,369,60,0,Urban,N,Yes
1677,Other,Yes,0,Graduate,Yes,73744,40407,319,120,1,Semiurban,Y,Yes
1678,Female,No,0,Not Graduate,Yes,31485,18405,509,60,1,Urban,Y,Yes
1680,Female,No,2,Not Graduate,No,74758,2569,175,240,1,Urban,Y,Yes
1681,Female,Yes,3,Not Graduate,Yes,17480,23765,234,180,0,Rural,Y,Yes
1682,Female,No,3,Not Graduate,No,59960,27606,414,300,1,Rural,Y,Yes
1683,Male,Yes,1,Not Graduate,Yes,54213,47620,591,300,1,Rural,N,Yes
1684,Other,Yes,1,Graduate,No,66094,11578,57,180,0,Semiurban,Y,Yes
1685,Other,Yes,1,Not Graduate,No,48057,38822,463,120,1,Urban,Y,Yes
1686,Female,No,1,Not Graduate,No,38061,48880,181,180,1,Semiurban,Y,Yes
1687,Male,No,3,Not Graduate,No,18789,30202,405,240,0,Urban,N,Yes
1688,Male,No,2,Graduate,Yes,32107,14427,372,300,1,Urban,N,Yes
1689,Other,No,3,Graduate,Yes,29287,24381,151,360,1,Urban,N,Yes
1690,Male,No,1,Not Graduate,Yes,18014,37226,515,120,0,Urban,N,Yes
1691,Male,Yes,0,Graduate,Yes,11574,18469,478,360,0,Urban,N,Yes
1692,Female,Yes,3,Graduate,No,21558,19095,124,120,0,Urban,N,Yes
1693,Male,Yes,0,Graduate,Yes,20467,39615,149,360,1,Urban,N,Yes
1694,Female,Yes,0,Not Graduate,Yes,46477,31210,285,360,0,Rural,N,Yes
1695,Other,Yes,1,Graduate,Yes,57354,5802,318,60,0,Rural,N,Yes
1696,Male,No,3,Graduate,No,67965,37997,616,180,0,Semiurban,N,Yes
1697,Other,Yes,2,Graduate,No,24880,49295,303,120,1,Urban,N,Yes
1698,Other,No,3,Not Graduate,No,30251,11841,378,60,1,Semiurban,Y,Yes
1699,Male,Yes,2,Graduate,No,55546,15169,348,300,1,Rural,Y,Yes
1700,Male,No,2,Not Graduate,No,47016,36036,419,360,1,Semiurban,Y,Yes
1701,Other,No,1,Graduate,Yes,29889,42029,308,180,0,Semiurban,Y,Yes
1702,Male,No,2,Not Graduate,Yes,28979,46651,277,240,0,Urban,Y,Yes
1703,Female,Yes,3,Not Graduate,Yes,64516,34953,426,120,0,Semiurban,N,Yes
1704,Female,Yes,3,Not Graduate,Yes,51741,18921,194,120,1,Semiurban,Y,Yes
1705,Male,Yes,0,Not Graduate,No,68035,47505,129,300,0,Semiurban,N,Yes
1706,Other,Yes,2,Not Graduate,Yes,60133,6745,88,360,1,Rural,Y,Yes
1707,Male,No,1,Graduate,No,16360,31443,146,180,0,Urban,N,Yes
1708,Male,No,1,Graduate,No,69939,15016,295,360,1,Urban,Y,Yes
1709,Other,No,3,Graduate,Yes,39088,13219,382,180,1,Urban,Y,Yes
1710,Other,No,2,Not Graduate,Yes,17020,47728,637,300,0,Urban,N,Yes
1711,Female,Yes,1,Not Graduate,Yes,10420,29012,452,360,0,Rural,N,Yes
1712,Other,No,2,Not Graduate,Yes,36637,22081,327,240,1,Urban,Y,Yes
1713,Female,Yes,2,Graduate,Yes,42210,301,57,300,1,Semiurban,Y,Yes
1714,Other,No,0,Not Graduate,No,34453,18549,413,300,0,Rural,N,Yes
1715,Male,No,1,Not Graduate,Yes,12275,34528,501,120,0,Semiurban,N,Yes
1716,Female,No,0,Not Graduate,No,33052,12438,301,180,1,Rural,N,Yes
1717,Female,Yes,1,Not Graduate,No,36741,5286,67,60,0,Urban,N,Yes
1718,Female,Yes,2,Graduate,Yes,34613,35422,439,360,1,Urban,N,Yes
1719,Male,No,1,Not Graduate,No,51162,21251,291,180,1,Rural,Y,Yes
1720,Male,No,3,Not Graduate,No,35199,30466,302,300,0,Urban,N,Yes
1722,Male,Yes,1,Not Graduate,No,8147,6580,422,240,0,Urban,N,Yes
1723,Male,Yes,0,Graduate,No,6443,17015,474,180,0,Rural,N,Yes
1724,Female,Yes,0,Not Graduate,Yes,74220,48201,228,180,1,Urban,Y,Yes
1725,Male,No,2,Graduate,Yes,16595,12383,61,240,1,Urban,N,Yes
1726,Female,Yes,0,Graduate,Yes,69857,28963,342,60,0,Rural,N,Yes
1727,Male,No,2,Not Graduate,No,17810,15536,308,60,0,Semiurban,N,Yes
1728,Other,Yes,2,Not Graduate,No,9740,34842,478,300,1,Urban,Y,Yes
1729,Female,No,2,Graduate,Yes,35712,15156,646,60,1,Rural,N,Yes
1730,Other,No,1,Not Graduate,No,8468,4400,344,180,1,Urban,Y,Yes
1731,Female,Yes,2,Not Graduate,No,15704,43877,382,120,0,Urban,N,Yes
1732,Other,No,0,Graduate,No,68974,25344,161,120,1,Semiurban,Y,Yes
1733,Male,No,3,Graduate,No,68700,48045,255,360,1,Rural,Y,Yes
1734,Male,No,1,Graduate,No,8678,32573,271,240,0,Semiurban,N,Yes
1735,Male,Yes,0,Graduate,Yes,67882,24780,579,300,1,Urban,Y,Yes
1736,Female,No,2,Graduate,Yes,59987,661,62,120,0,Rural,N,Yes
1737,Other,Yes,2,Graduate,No,39105,678,319,360,0,Semiurban,N,Yes
1738,Male,Yes,3,Not Graduate,Yes,20371,6363,602,360,1,Rural,Y,Yes
1739,Other,No,0,Not Graduate,Yes,38297,33067,89,60,0,Urban,N,Yes
1740,Other,Yes,1,Not Graduate,No,31753,16641,554,180,1,Urban,Y,Yes
1741,Male,No,0,Not Graduate,Yes,8756,19146,650,300,0,Semiurban,N,Yes
1742,Male,Yes,2,Not Graduate,Yes,43873,33007,662,60,1,Urban,Y,Yes
1743,Other,No,1,Not Graduate,No,63630,44505,264,60,1,Rural,Y,Yes
1745,Male,No,2,Not Graduate,No,26308,27088,571,240,1,Semiurban,N,Yes
1746,Male,No,0,Not Graduate,Yes,34256,37058,170,60,1,Urban,Y,Yes
1747,Female,No,3,Graduate,Yes,58814,30989,359,180,0,Semiurban,Y,Yes
1748,Other,No,2,Graduate,Yes,35961,5647,354,120,1,Semiurban,Y,Yes
1749,Other,Yes,0,Not Graduate,Yes,54641,14064,475,360,0,Semiurban,N,Yes
1750,Female,Yes,1,Not Graduate,No,29433,39474,508,60,0,Semiurban,N,Yes
1751,Other,No,3,Graduate,No,32731,45411,645,240,0,Rural,N,Yes
1752,Male,Yes,2,Graduate,Yes,9401,31195,251,360,1,Semiurban,Y,Yes
1753,Other,No,2,Graduate,No,21445,28445,611,60,1,Rural,Y,Yes
1754,Male,No,1,Not Graduate,No,64012,28979,461,180,0,Rural,N,Yes
1755,Female,Yes,0,Graduate,Yes,74819,39539,269,240,1,Rural,Y,Yes
1756,Male,Yes,2,Graduate,Yes,28970,23992,204,240,1,Urban,Y,Yes
1757,Other,No,1,Graduate,No,65890,33288,658,180,1,Semiurban,Y,Yes
1758,Other,Yes,2,Not Graduate,No,14360,5642,373,360,0,Semiurban,N,Yes
1759,Other,No,0,Graduate,No,57613,46698,660,60,0,Urban,N,Yes
1760,Female,Yes,3,Not Graduate,No,67357,3884,389,240,1,Semiurban,Y,Yes
1761,Female,Yes,0,Graduate,Yes,35235,48385,439,300,1,Urban,Y,Yes
1762,Other,Yes,0,Graduate,No,13428,35509,235,300,0,Semiurban,N,Yes
1763,Male,Yes,0,Not Graduate,No,46527,31649,183,60,1,Rural,Y,Yes
1764,Female,Yes,1,Graduate,No,72419,13481,196,360,0,Rural,Y,Yes
1765,Other,No,2,Graduate,Yes,40821,36300,162,240,1,Rural,Y,Yes
1766,Other,Yes,3,Graduate,No,51001,30532,578,360,0,Semiurban,N,Yes
1767,Female,Yes,1,Not Graduate,No,42633,33418,482,300,0,Rural,N,Yes
1768,Female,No,0,Not Graduate,Yes,17407,11036,436,240,1,Urban,N,Yes
1769,Female,No,3,Not Graduate,Yes,21080,2158,415,240,0,Semiurban,N,Yes
1770,Male,No,0,Graduate,No,10407,19035,83,60,0,Semiurban,N,Yes
1771,Male,Yes,0,Not Graduate,Yes,43013,43227,111,60,0,Semiurban,N,Yes
1772,Other,Yes,0,Graduate,No,40433,9220,493,60,1,Rural,N,Yes
1773,Female,No,3,Graduate,No,66948,9747,245,60,1,Rural,Y,Yes
1774,Male,No,2,Graduate,Yes,7220,46692,136,360,1,Urban,N,Yes
1775,Female,No,0,Graduate,Yes,65474,40230,684,240,0,Urban,N,Yes
1776,Other,No,2,Graduate,Yes,25554,24513,303,360,1,Semiurban,N,Yes
1778,Male,Yes,3,Graduate,Yes,36445,41472,211,120,1,Semiurban,Y,Yes
